Index,Sample No,Net Confining Stress (psi),Net Overburden pressure (psi),Bulk Volume (cc),Pore Volume (cc),Porosity,Identical Porosity values,Frequency of porosity values,Relative Porosity (phi / phi ambient),"Air Permability (md), Kair@323 (K)","Klinkenberg Permeability, KL (mD)","Relative Permeability, Kp/K@323 psi (fraction)","Pore Volume Compressibility *1e-06, (psi) -1",RQI,Log (RQI),Phi z,Log (Phi z),FZI,GHE,DRT,Log R35,R35,log fzi,Identical Log (FZI) Values,Abs(Log FZI),Indentical Sum(log(FZI)),Identical Cumulative Frequency,Non Identical Sum(log(FZI)),Non Identical Cumulative Frequency,Identical Frequency,Rock Type
24,47H,2400,3871,56.7957,10.6477,0.1875,0.0962,2,0.963,0.357,0.221,0.266,9.68,0.043327449,-1.36323688,0.230769231,-0.636822098,0.187752279,0.357,7,1.097095812,12.50534887,-0.72641,-0.429148302,0.72641,-18.81452,-0.29398,-24.69146,-0.121632818,27.27273,0
25,47H,2400,3871,56.7957,10.6477,0.1875,0.0966,2,0.963,0.357,0.221,0.266,9.68,0.043327449,-1.36323688,0.230769231,-0.636822098,0.187752279,0.357,7,1.097095812,12.50534887,-0.72641,-0.426673504,0.72641,-19.24119,-0.30542,-25.41788,-0.125831074,28.40909,0
26,31H,3600,5806,56.9642,7.9617,0.1398,0.097,2,0.972,0.148,0.08,0.407,4.94,0.032307765,-1.49069308,0.162520344,-0.789092267,0.19879213,0.148,7,0.982395693,9.602751549,-0.7016,-0.425867339,0.7016,-19.66706,-0.31721,-26.11948,-0.12994765,29.54545,0
27,31H,3600,5806,56.9642,7.9617,0.1398,0.0977,2,0.972,0.148,0.08,0.407,4.94,0.032307765,-1.49069308,0.162520344,-0.789092267,0.19879213,0.148,7,0.982395693,9.602751549,-0.7016,-0.413737422,0.7016,-20.0808,-0.32919,-26.82108,-0.134105393,30.68182,0
28,46H,800,1290,57.1006,8.0289,0.1406,0.0981,2,0.982,0.165,1.34,0.71,22.68,0.034015665,-1.46832104,0.163602513,-0.786210029,0.207916516,0.165,7,1.008021242,10.1864121,-0.68211,-0.412476289,0.68211,-20.49327,-0.34155,-27.50319,-0.138206983,31.81818,0
29,31H,2400,3871,57.0192,8.0167,0.1406,0.0989,2,0.978,0.193,0.117,0.53,6.71,0.036788802,-1.434284358,0.163602513,-0.786210029,0.224866972,0.193,8,1.048048381,11.16987674,-0.64807,-0.409759823,0.64807,-20.90303,-0.35429,-28.15126,-0.1421781,32.95455,0
30,31H,2400,3871,57.0192,8.0167,0.1406,0.2561,3,0.978,0.193,0.117,0.53,6.71,0.036788802,-1.434284358,0.163602513,-0.786210029,0.224866972,0.193,8,1.048048381,11.16987674,-0.64807,-0.405207203,0.64807,-21.30824,-0.36738,-28.79934,-0.146189534,34.09091,0
31,47H,1200,1935,56.9687,10.8207,0.1899,0.2569,3,0.976,0.537,0.451,0.401,18.27,0.052802479,-1.277345691,0.234415504,-0.630013667,0.225251647,0.537,8,1.19657931,15.72458927,-0.64733,-0.400740425,0.64733,-21.70898,-0.38086,-29.44667,-0.150238113,35.22727,0
32,47H,1200,1935,56.9687,10.8207,0.1899,0.2578,3,0.976,0.537,0.451,0.401,18.27,0.052802479,-1.277345691,0.234415504,-0.630013667,0.225251647,0.537,8,1.19657931,15.72458927,-0.64733,-0.398995807,0.64733,-22.10798,-0.39479,-30.094,-0.154328217,36.36364,0
33,47H,800,1290,57.0577,10.9097,0.1912,0.2592,3,0.982,0.682,0.59,0.509,22.5,0.059303168,-1.226922109,0.236399604,-0.626353255,0.250859843,0.682,8,1.255059677,17.99118118,-0.60057,-0.398536844,0.60057,-22.50651,-0.40921,-30.69457,-0.158219439,37.5,0
34,47H,800,1290,57.0577,10.9097,0.1912,0.2663,2,0.982,0.682,0.59,0.509,22.5,0.059303168,-1.226922109,0.236399604,-0.626353255,0.250859843,0.682,8,1.255059677,17.99118118,-0.60057,-0.379665981,0.60057,-22.88618,-0.42382,-31.29514,-0.162150984,38.63636,0
35,31H,1200,1935,57.0992,8.0967,0.1418,0.2617,3,0.986,0.268,0.163,0.736,10.39,0.043167702,-1.36484107,0.16522955,-0.781912279,0.261258969,0.268,8,1.128694995,13.4491549,-0.58293,-0.37705925,0.58293,-23.26324,-0.43893,-31.87807,-0.166031608,39.77273,0
36,31H,1200,1935,57.0992,8.0967,0.1418,0.263,3,0.986,0.268,0.163,0.736,10.39,0.043167702,-1.36484107,0.16522955,-0.781912279,0.261258969,0.268,8,1.128694995,13.4491549,-0.58293,-0.368510227,0.58293,-23.63175,-0.45446,-32.461,-0.169952867,40.90909,0
37,31H,800,1290,57.1362,8.1337,0.1424,0.1033,2,0.99,0.303,0.199,0.832,12.18,0.045803216,-1.339104032,0.166044776,-0.779774783,0.275848579,0.303,8,1.158455635,14.40308868,-0.55933,-0.347451019,0.55933,-23.9792,-0.47018,-33.02033,-0.173791193,42.04545,0
38,31H,800,1290,57.1362,8.1337,0.1424,0.1037,2,0.99,0.303,0.199,0.832,12.18,0.045803216,-1.339104032,0.166044776,-0.779774783,0.275848579,0.303,8,1.158455635,14.40308868,-0.55933,-0.336601809,0.55933,-24.3158,-0.48632,-33.57966,-0.177670138,43.18182,0
39,5V,Ambient,Ambient,57.329,4.5439,0.0793,0.1042,2,1,0.051,-,1,-,0.0251813,-1.598921858,0.086130118,-1.064844956,0.292363464,0.051,8,0.92307923,8.376820892,-0.53408,-0.325992474,0.53408,-24.6418,-0.50289,-34.11373,-0.181456026,44.31818,0
40,31H,Ambient,Ambient,57.2299,8.2274,0.1438,0.1049,2,1,0.364,0.245,1,-,0.049957523,-1.301399103,0.167951413,-0.774816337,0.297452234,0.364,8,1.201623936,15.908306,-0.52658,-0.315612401,0.52658,-24.95741,-0.51995,-34.64032,-0.18524233,45.45455,0
41,31H,Ambient,Ambient,57.2299,8.2274,0.1438,0.1342,2,1,0.364,0.245,1,-,0.049957523,-1.301399103,0.167951413,-0.774816337,0.297452234,0.364,8,1.201623936,15.908306,-0.52658,-0.299799833,0.52658,-25.25721,-0.53739,-35.1669,-0.189069346,46.59091,0
42,47H,Ambient,Ambient,57.3018,11.1538,0.1947,0.0667,2,1,1.34,0.868,1,-,0.082375691,-1.084200929,0.241773252,-0.616591748,0.340714659,1.34,8,1.420725439,26.34665226,-0.46761,-0.294470872,0.46761,-25.55168,-0.55547,-35.63451,-0.19261896,47.72727,0
43,35V,6000,9677,57.1193,5.4751,0.0959,0.1346,2,0.969,0.129,0.1,0.759,3.07,0.036417925,-1.4386848,0.106072337,-0.974397862,0.343331034,0.129,8,1.088735473,12.26691831,-0.46429,-0.289121606,0.46429,-25.8408,-0.57424,-36.09879,-0.196189101,48.86364,0
44,35V,6000,9677,57.1193,5.4751,0.0959,0.106,2,0.969,0.129,0.1,0.759,3.07,0.036417925,-1.4386848,0.106072337,-0.974397862,0.343331034,0.129,8,1.088735473,12.26691831,-0.46429,-0.27459776,0.46429,-26.1154,-0.59353,-36.56308,-0.19979826,50,0
45,35V,4800,7742,57.1403,5.4961,0.0962,0.0674,2,0.972,0.136,0.105,0.8,3.28,0.037334605,-1.427888434,0.106439478,-0.972897265,0.350759006,0.136,9,1.101057616,12.61994947,-0.45499,-0.258051304,0.45499,-26.37345,-0.61334,-37.01807,-0.203396004,51.13636,0
46,35V,4800,7742,57.1403,5.4961,0.0962,0.1357,2,0.972,0.136,0.105,0.8,3.28,0.037334605,-1.427888434,0.106439478,-0.972897265,0.350759006,0.136,9,1.101057616,12.61994947,-0.45499,-0.253020017,0.45499,-26.62647,-0.63396,-37.47306,-0.207033502,52.27273,0
47,35V,3600,5806,57.1633,5.5191,0.0966,0.1064,2,0.976,0.143,0.111,0.841,3.83,0.038204024,-1.417890896,0.106929378,-0.97090296,0.357282762,0.143,9,1.112317353,12.95141897,-0.44699,-0.249484308,0.44699,-26.87595,-0.65551,-37.92005,-0.210666954,53.40909,0
48,35V,3600,5806,57.1633,5.5191,0.0966,0.1075,2,0.976,0.143,0.111,0.841,3.83,0.038204024,-1.417890896,0.106929378,-0.97090296,0.357282762,0.143,9,1.112317353,12.95141897,-0.44699,-0.208414513,0.44699,-27.08437,-0.67711,-38.36704,-0.214341004,54.54545,0
49,35V,2400,3871,57.1933,5.5491,0.097,0.1373,2,0.981,0.152,0.116,0.894,5.37,0.039306609,-1.405534425,0.107419712,-0.968916016,0.365916161,0.152,9,1.126353251,13.37683134,-0.43662,-0.207683124,0.43662,-27.29205,-0.6998,-38.80366,-0.217998079,55.68182,0
50,35V,2400,3871,57.1933,5.5491,0.097,0.0683,2,0.981,0.152,0.116,0.894,5.37,0.039306609,-1.405534425,0.107419712,-0.968916016,0.365916161,0.152,9,1.126353251,13.37683134,-0.43662,-0.205692528,0.43662,-27.49774,-0.72362,-39.24028,-0.221696478,56.81818,0
51,35V,1200,1935,57.2383,5.5941,0.0977,0.0647,1,0.988,0.161,0.128,0.947,8.55,0.040308376,-1.394604696,0.108278843,-0.965456394,0.372264564,0.161,9,1.138344712,13.75133025,-0.42915,-0.20203941,0.42915,-27.69978,-0.74864,-39.66942,-0.225394459,57.95455,0
52,35V,1200,1935,57.2383,5.5941,0.0977,0.1139,2,0.988,0.161,0.128,0.947,8.55,0.040308376,-1.394604696,0.108278843,-0.965456394,0.372264564,0.161,9,1.138344712,13.75133025,-0.42915,-0.200543888,0.42915,-27.90033,-0.77501,-40.09857,-0.229134704,59.09091,0
53,35V,800,1290,57.2593,5.6151,0.0981,0.0916,2,0.991,0.165,0.134,0.971,10.08,0.040722752,-1.390162884,0.108770374,-0.96348938,0.374391945,0.165,9,1.143078537,13.9020401,-0.42667,-0.19437764,0.42667,-28.0947,-0.80271,-40.52525,-0.232903716,60.22727,0
54,35V,800,1290,57.2593,5.6151,0.0981,0.1145,2,0.991,0.165,0.134,0.971,10.08,0.040722752,-1.390162884,0.108770374,-0.96348938,0.374391945,0.165,9,1.143078537,13.9020401,-0.42667,-0.191331523,0.42667,-28.28604,-0.83194,-40.95192,-0.236716301,61.36364,0
55,35V,Ambient,Ambient,57.313,5.6688,0.0989,0.1396,2,1,0.17,-,1,-,0.041167639,-1.385444037,0.109754744,-0.959576698,0.37508756,0.17,9,1.14765437,14.04928976,-0.42587,-0.188589209,0.42587,-28.47463,-0.86287,-41.37779,-0.240568532,62.5,0
56,35V,Ambient,Ambient,57.313,5.6688,0.0989,0.1154,2,1,0.17,-,1,-,0.041167639,-1.385444037,0.109754744,-0.959576698,0.37508756,0.17,9,1.14765437,14.04928976,-0.42587,-0.180753389,0.42587,-28.65538,-0.89548,-41.80365,-0.244465818,63.63636,0
57,5H,6000,9677,56.1097,14.371,0.2561,0.0919,2,0.962,4.58,3.2,0.962,2.69,0.132787623,-0.876842402,0.344266703,-0.46310498,0.385711492,4.58,9,1.631723025,42.82752973,-0.41374,-0.177805271,0.41374,-28.83318,-0.9301,-42.21739,-0.248337601,64.77273,2
58,5H,6000,9677,56.1097,14.371,0.2561,0.1167,2,0.962,4.58,3.2,0.962,2.69,0.132787623,-0.876842402,0.344266703,-0.46310498,0.385711492,4.58,9,1.631723025,42.82752973,-0.41374,-0.174030225,0.41374,-29.00721,-0.96691,-42.63113,-0.252255205,65.90909,2
59,5H,6000,9677,56.1097,14.371,0.2561,0.0695,2,0.962,4.58,3.2,0.962,2.69,0.132787623,-0.876842402,0.344266703,-0.46310498,0.385711492,4.58,9,1.631723025,42.82752973,-0.41374,-0.173416378,0.41374,-29.18063,-1.00623,-43.04487,-0.256219447,67.04545,2
60,5H,4800,7742,56.1657,14.427,0.2569,0.0925,2,0.964,4.66,3.27,0.964,3.68,0.133733606,-0.873759446,0.345713901,-0.461283157,0.386833174,4.66,9,1.634974733,43.1493972,-0.41248,-0.164380273,0.41248,-29.34501,-1.04804,-43.45734,-0.260223613,68.18182,2
61,5H,4800,7742,56.1657,14.427,0.2569,0.119,2,0.964,4.66,3.27,0.964,3.68,0.133733606,-0.873759446,0.345713901,-0.461283157,0.386833174,4.66,9,1.634974733,43.1493972,-0.41248,-0.156425729,0.41248,-29.50144,-1.09265,-43.86982,-0.264276022,69.31818,2
62,5H,4800,7742,56.1657,14.427,0.2569,0.1202,2,0.964,4.66,3.27,0.964,3.68,0.133733606,-0.873759446,0.345713901,-0.461283157,0.386833174,4.66,9,1.634974733,43.1493972,-0.41248,-0.156105338,0.41248,-29.65754,-1.14067,-44.2823,-0.268377551,70.45455,2
63,5H,3600,5806,56.2377,14.499,0.2578,0.1233,2,0.968,4.78,3.37,0.968,4.86,0.135207923,-0.86899786,0.347345729,-0.459238037,0.389260357,4.78,9,1.640155166,43.66718201,-0.40976,-0.155448614,0.40976,-29.81299,-1.19252,-44.69206,-0.272512535,71.59091,2
64,5H,3600,5806,56.2377,14.499,0.2578,0.0933,2,0.968,4.78,3.37,0.968,4.86,0.135207923,-0.86899786,0.347345729,-0.459238037,0.389260357,4.78,9,1.640155166,43.66718201,-0.40976,-0.154883884,0.40976,-29.96787,-1.24866,-45.10182,-0.276698255,72.72727,2
65,5H,3600,5806,56.2377,14.499,0.2578,0.1966,2,0.968,4.78,3.37,0.968,4.86,0.135207923,-0.86899786,0.347345729,-0.459238037,0.389260357,4.78,9,1.640155166,43.66718201,-0.40976,-0.153778041,0.40976,-30.12165,-1.30964,-45.51158,-0.280935651,73.86364,2
66,5H,2400,3871,56.3457,14.607,0.2592,0.197,2,0.973,4.98,3.53,0.973,7.87,0.137634345,-0.861273179,0.349892009,-0.456065976,0.393362357,4.98,9,1.648590216,44.52359421,-0.40521,-0.153677387,0.40521,-30.27533,-1.37615,-45.91678,-0.285197408,75,2
67,5H,2400,3871,56.3457,14.607,0.2592,0.1975,2,0.973,4.98,3.53,0.973,7.87,0.137634345,-0.861273179,0.349892009,-0.456065976,0.393362357,4.98,9,1.648590216,44.52359421,-0.40521,-0.153238192,0.40521,-30.42857,-1.44898,-46.32199,-0.289512436,76.13636,2
68,5H,2400,3871,53.403,14.607,0.2592,0.1983,2,0.973,4.98,3.53,0.973,7.87,0.137634345,-0.861273179,0.349892009,-0.456065976,0.393362357,4.98,9,1.648590216,44.52359421,-0.40521,-0.144873191,0.40521,-30.57344,-1.52867,-46.7272,-0.293881742,77.27273,2
69,5H,Ambient,Ambient,56.8903,15.1516,0.2663,0.1995,2,1,5.62,4.124,1,-,0.144248805,-0.840887777,0.362954886,-0.440147353,0.397429019,5.62,9,1.669324266,46.70079414,-0.40074,-0.138669782,0.40074,-30.71211,-1.61643,-47.12794,-0.298278085,78.40909,2
70,5H,Ambient,Ambient,56.8903,15.1516,0.2663,0.2015,2,1,5.62,4.124,1,-,0.144248805,-0.840887777,0.362954886,-0.440147353,0.397429019,5.62,9,1.669324266,46.70079414,-0.40074,-0.12493096,0.40074,-30.83704,-1.71317,-47.52868,-0.302730432,79.54545,2
71,5H,1200,1935,56.5347,14.796,0.2617,0.2,2,0.983,5.31,3.78,0.983,14.4,0.141440912,-0.849424953,0.354462955,-0.450429146,0.399028755,5.31,9,1.661373162,45.85357085,-0.399,-0.120987359,0.399,-30.95803,-1.82106,-47.92767,-0.307228677,80.68182,2
72,5H,1200,1935,56.5347,14.796,0.2617,0.053,1,0.983,5.31,3.78,0.983,14.4,0.141440912,-0.849424953,0.354462955,-0.450429146,0.399028755,5.31,9,1.661373162,45.85357085,-0.399,-0.116729528,0.399,-31.07476,-1.94217,-48.32667,-0.311784964,81.81818,2
73,5H,1200,1935,53.409,14.796,0.2617,0.0949,2,0.983,5.31,3.78,0.983,14.4,0.141440912,-0.849424953,0.354462955,-0.450429146,0.399028755,5.31,9,1.661373162,45.85357085,-0.399,-0.08463648,0.399,-31.1594,-2.07729,-48.72567,-0.316400424,82.95455,2
74,5H,800,1290,56.6307,14.892,0.263,0.0957,2,0.987,5.42,3.89,0.987,17.64,0.142544813,-0.846048583,0.356852103,-0.447511739,0.399450672,5.42,9,1.664749814,46.21147319,-0.39854,-0.078968682,0.39854,-31.23836,-2.23131,-49.1242,-0.321073217,84.09091,2
75,5H,800,1290,56.6307,14.892,0.263,0.098,2,0.987,5.42,3.89,0.987,17.64,0.142544813,-0.846048583,0.356852103,-0.447511739,0.399450672,5.42,9,1.664749814,46.21147319,-0.39854,-0.078806955,0.39854,-31.31717,-2.40901,-49.52274,-0.325807493,85.22727,2
76,5H,800,1290,53.414,14.892,0.263,0.1432,2,0.987,5.42,3.89,0.987,17.64,0.142544813,-0.846048583,0.356852103,-0.447511739,0.399450672,5.42,9,1.664749814,46.21147319,-0.39854,-0.077852185,0.39854,-31.39502,-2.61625,-49.92128,-0.330604476,86.36364,2
77,26V,6000,9677,56.9581,5.8826,0.1033,0.0713,2,0.961,0.242,0.153,0.502,2.49,0.048060377,-1.31821283,0.115200178,-0.938546848,0.417190124,0.242,9,1.221500757,16.65331732,-0.37967,-0.076729244,0.37967,-31.47175,-2.86107,-50.30094,-0.335339612,87.5,0
78,26V,6000,9677,56.9581,5.8826,0.1033,0.0534,1,0.961,0.242,0.153,0.502,2.49,0.048060377,-1.31821283,0.115200178,-0.938546848,0.417190124,0.242,9,1.221500757,16.65331732,-0.37967,-0.076151078,0.37967,-31.5479,-3.15479,-50.68061,-0.340138307,88.63636,0
79,26V,4800,7742,56.9821,5.9066,0.1037,0.0721,2,0.964,0.248,0.157,0.515,4.22,0.048558595,-1.31373389,0.115697869,-0.93667464,0.419701721,0.248,9,1.226304743,16.83855201,-0.37706,-0.074763171,0.37706,-31.62267,-3.51363,-51.05767,-0.344984237,89.77273,0
80,26V,4800,7742,56.9821,5.9066,0.1037,0.213,2,0.964,0.248,0.157,0.515,4.22,0.048558595,-1.31373389,0.115697869,-0.93667464,0.419701721,0.248,9,1.226304743,16.83855201,-0.37706,-0.073731804,0.37706,-31.6964,-3.96205,-51.43473,-0.349896097,90.90909,0
81,26V,3600,5806,57.0171,5.9416,0.1042,0.2135,2,0.969,0.262,0.168,0.544,5.66,0.049790494,-1.302853566,0.116320607,-0.934343339,0.42804534,0.262,9,1.23852345,17.31902544,-0.36851,0.028496431,0.36851,-31.6679,-4.52399,-51.80324,-0.354816689,92.04545,0
82,26V,3600,5806,57.0171,5.9416,0.1042,0.219,2,0.969,0.262,0.168,0.544,5.66,0.049790494,-1.302853566,0.116320607,-0.934343339,0.42804534,0.262,9,1.23852345,17.31902544,-0.36851,0.032024535,0.36851,-31.63588,-5.27265,-52.17175,-0.35980515,93.18182,0
83,26V,2400,3871,57.0641,5.9886,0.1049,0.214,2,0.976,0.295,0.192,0.612,7.61,0.052656612,-1.278547088,0.11719361,-0.931096069,0.449312997,0.295,9,1.266305324,18.46312983,-0.34745,0.032827317,0.34745,-31.60305,-6.32061,-52.5192,-0.364716651,94.31818,0
84,26V,2400,3871,57.0641,5.9886,0.1049,0.2149,2,0.976,0.295,0.192,0.612,7.61,0.052656612,-1.278547088,0.11719361,-0.931096069,0.449312997,0.295,9,1.266305324,18.46312983,-0.34745,0.033052382,0.34745,-31.57,-7.8925,-52.86665,-0.369696845,95.45455,0
85,46H,6000,9677,56.6786,7.6069,0.1342,0.2171,2,0.937,0.694,0.556,0.299,5.56,0.07140574,-1.146266875,0.155001155,-0.809665066,0.460678762,0.694,9,1.392341195,24.67977494,-0.3366,0.033423994,0.3366,-31.53657,-10.51219,-53.20325,-0.374670779,96.59091,0
86,46H,6000,9677,56.6786,7.6069,0.1342,0.0539,1,0.937,0.694,0.556,0.299,5.56,0.07140574,-1.146266875,0.155001155,-0.809665066,0.460678762,0.694,9,1.392341195,24.67977494,-0.3366,0.033737212,0.3366,-31.50284,-15.75142,-53.53985,-0.379715265,97.72727,0
87,50H,6000,9677,53.6379,3.5801,0.0667,0.2163,2,0.902,0.077,0.049,0.126,7.74,0.033737438,-1.471887906,0.071466838,-1.145895432,0.472071221,0.077,9,1.093211826,12.39400953,-0.32599,0.033795887,0.32599,-31.46904,-31.46904,-53.86584,-0.384756035,98.86364,0
88,50H,6000,9677,53.6379,3.5801,0.0667,0.0548,1,0.902,0.077,0.049,0.126,7.74,0.033737438,-1.471887906,0.071466838,-1.145895432,0.472071221,0.077,9,1.093211826,12.39400953,-0.32599,,0.32599,,,-54.19184,-0.389869333,,0
89,46H,4800,7742,56.7016,7.6299,0.1346,0.183,2,0.94,0.772,0.616,0.332,5.03,0.075199641,-1.123784232,0.155535013,-0.808171831,0.483490115,0.772,9,1.418424041,26.20740625,-0.31561,,0.31561,,,-54.50745,-0.39498152,,0
90,46H,4800,7742,56.7016,7.6299,0.1346,0.1818,2,0.94,0.772,0.616,0.332,5.03,0.075199641,-1.123784232,0.155535013,-0.808171831,0.483490115,0.772,9,1.418424041,26.20740625,-0.31561,,0.31561,,,-54.82306,-0.400168337,,0
91,26V,1200,1935,57.1301,6.0546,0.106,0.1788,2,0.986,0.38,0.253,0.788,10.83,0.05945228,-1.225831486,0.118568233,-0.926031654,0.501418285,0.38,9,1.327048487,21.23481527,-0.2998,,0.2998,,,-55.12286,-0.405315162,,0
92,26V,1200,1935,57.1301,6.0546,0.106,0.1813,2,0.986,0.38,0.253,0.788,10.83,0.05945228,-1.225831486,0.118568233,-0.926031654,0.501418285,0.38,9,1.327048487,21.23481527,-0.2998,,0.2998,,,-55.42266,-0.410538236,,0
93,50H,4800,7742,53.6749,3.6171,0.0674,0.1802,2,0.911,0.092,0.058,0.152,9.71,0.03668543,-1.435506387,0.07227107,-1.141035515,0.507608783,0.092,9,1.134745092,13.63782433,-0.29447,,0.29447,,,-55.71713,-0.415799498,,0
94,50H,4800,7742,53.6749,3.6171,0.0674,0.1791,2,0.911,0.092,0.058,0.152,9.71,0.03668543,-1.435506387,0.07227107,-1.141035515,0.507608783,0.092,9,1.134745092,13.63782433,-0.29447,,0.29447,,,-56.0116,-0.421139876,,0
95,46H,3600,5806,56.7776,7.7059,0.1357,0.1796,2,0.948,0.896,0.713,0.386,8.81,0.080685172,-1.093206271,0.157005669,-0.804084665,0.513899736,0.896,9,1.453408121,28.40587171,-0.28912,,0.28912,,,-56.30073,-0.426520645,,0
96,46H,3600,5806,56.7776,7.7059,0.1357,0.0562,1,0.948,0.896,0.713,0.386,8.81,0.080685172,-1.093206271,0.157005669,-0.804084665,0.513899736,0.896,9,1.453408121,28.40587171,-0.28912,,0.28912,,,-56.58985,-0.431983563,,0
97,26V,800,1290,57.1581,6.0826,0.1064,0.074,1,0.99,0.432,0.294,0.896,12.32,0.063270419,-1.198799292,0.119068935,-0.924201532,0.531376372,0.432,9,1.358386877,22.82374343,-0.2746,,0.2746,,,-56.86444,-0.437418804,,0
98,26V,800,1290,57.1581,6.0826,0.1064,0.0569,1,0.99,0.432,0.294,0.896,12.32,0.063270419,-1.198799292,0.119068935,-0.924201532,0.531376372,0.432,9,1.358386877,22.82374343,-0.2746,,0.2746,,,-57.13904,-0.442938312,,0
99,26V,Ambient,Ambient,57.2268,6.1513,0.1075,0.0588,1,1,0.482,-,1,-,0.066488867,-1.177251065,0.120448179,-0.919199761,0.552012225,0.482,9,1.382494745,24.12652341,-0.25805,,0.25805,,,-57.39709,-0.448414794,,0
100,26V,Ambient,Ambient,57.2268,6.1513,0.1075,0.0909,1,1,0.482,-,1,-,0.066488867,-1.177251065,0.120448179,-0.919199761,0.552012225,0.482,9,1.382494745,24.12652341,-0.25805,,0.25805,,,-57.65514,-0.453977519,,0
101,46H,2400,3871,56.8826,7.8109,0.1373,0.0897,1,0.959,1.1,0.877,0.473,13.89,0.088877273,-1.051209278,0.159151501,-0.798189261,0.558444455,1.1,9,1.501391555,31.72426396,-0.25302,,0.25302,,,-57.90816,-0.45958861,,0
102,46H,2400,3871,56.8826,7.8109,0.1373,0.0892,1,0.959,1.1,0.877,0.473,13.89,0.088877273,-1.051209278,0.159151501,-0.798189261,0.558444455,1.1,9,1.501391555,31.72426396,-0.25302,,0.25302,,,-58.16118,-0.46528948,,0
103,50H,3600,5806,53.7249,3.6671,0.0683,0.0883,1,0.923,0.118,0.074,0.194,13.23,0.041272455,-1.3843397,0.073306858,-1.134855392,0.563009459,0.118,9,1.193327132,15.60727678,-0.24948,,0.24948,,,-58.41067,-0.471053784,,0
104,50H,3600,5806,53.7249,3.6671,0.0683,0.0877,1,0.923,0.118,0.074,0.194,13.23,0.041272455,-1.3843397,0.073306858,-1.134855392,0.563009459,0.118,9,1.193327132,15.60727678,-0.24948,,0.24948,,,-58.66015,-0.476911818,,0
105,17H,Ambient,Ambient,57.4346,3.7177,0.0647,0.0873,1,1,0.12,0.043,1,-,0.042762997,-1.368931869,0.069175666,-1.160046654,0.618179764,0.12,10,1.217937274,16.5172322,-0.20889,,0.20889,,,-58.86904,-0.482533105,,0
106,6H,6000,9677,56.6088,6.4495,0.1139,0.0795,1,0.924,0.731,0.528,0.924,3.79,0.079547489,-1.099373525,0.128540797,-0.890959012,0.618850131,0.731,10,1.46714692,29.31884922,-0.20841,,0.20841,,,-59.07745,-0.488243416,,0
107,6H,6000,9677,56.6088,6.4495,0.1139,0.087,1,0.924,0.731,0.528,0.924,3.79,0.079547489,-1.099373525,0.128540797,-0.890959012,0.618850131,0.731,10,1.46714692,29.31884922,-0.20841,,0.20841,,,-59.28587,-0.494048898,,0
108,26H,6000,9677,54.3405,4.9757,0.0916,0.102,1,0.935,0.363,0.246,0.55,3.1,0.062507945,-1.204064776,0.100836636,-0.996381652,0.619893205,0.363,10,1.370147406,23.45024618,-0.20768,,0.20768,,,-59.49355,-0.499945806,,0
109,26H,6000,9677,54.3405,4.9757,0.0916,0.0798,1,0.935,0.363,0.246,0.55,3.1,0.062507945,-1.204064776,0.100836636,-0.996381652,0.619893205,0.363,10,1.370147406,23.45024618,-0.20768,,0.20768,,,-59.70123,-0.505942661,,0
110,6H,4800,7742,56.6478,6.4885,0.1145,0.0784,1,0.929,0.753,0.54,0.929,6.02,0.080523824,-1.094075607,0.129305477,-0.888383079,0.622741017,0.753,10,1.472747506,29.69938837,-0.20569,,0.20569,,,-59.90693,-0.512025013,,0
111,6H,4800,7742,56.6478,6.4885,0.1145,0.0778,1,0.929,0.753,0.54,0.929,6.02,0.080523824,-1.094075607,0.129305477,-0.888383079,0.622741017,0.753,10,1.472747506,29.69938837,-0.20569,,0.20569,,,-60.11262,-0.518212234,,0
112,46H,1200,1935,57.0346,7.9629,0.1396,0.0777,1,0.975,1.47,1.18,0.633,20.26,0.101893295,-0.991854394,0.162250116,-0.789814983,0.628001368,1.47,10,1.569201591,37.08528248,-0.20204,,0.20204,,,-60.31466,-0.524475291,,0
113,46H,1200,1935,57.0346,7.9629,0.1396,0.0776,1,0.975,1.47,1.18,0.633,20.26,0.101893295,-0.991854394,0.162250116,-0.789814983,0.628001368,1.47,10,1.569201591,37.08528248,-0.20204,,0.20204,,,-60.5167,-0.530848227,,0
114,6H,3600,5806,56.7028,6.5435,0.1154,0.0775,2,0.936,0.791,0.559,0.936,8.43,0.082208171,-1.085085015,0.130454443,-0.884541126,0.63016766,0.791,10,1.482381953,30.36560606,-0.20054,,0.20054,,,-60.71724,-0.537320724,,0
115,6H,3600,5806,56.7028,6.5435,0.1154,0.0551,1,0.936,0.791,0.559,0.936,8.43,0.082208171,-1.085085015,0.130454443,-0.884541126,0.63016766,0.791,10,1.482381953,30.36560606,-0.20054,,0.20054,,,-60.91779,-0.543908801,,0
116,26H,4800,7742,54.3635,4.9987,0.0919,0.0543,1,0.939,0.39,0.266,0.591,4.49,0.064685091,-1.189195804,0.101200308,-0.994818164,0.639178797,0.39,10,1.387241387,24.39166165,-0.19438,,0.19438,,,-61.11216,-0.55056003,,0
117,26H,4800,7742,54.3635,4.9987,0.0919,0.0536,1,0.939,0.39,0.266,0.591,4.49,0.064685091,-1.189195804,0.101200308,-0.994818164,0.639178797,0.39,10,1.387241387,24.39166165,-0.19438,,0.19438,,,-61.30654,-0.557332191,,0
