Index,Sample No,Net Confining Stress (psi),Net Overburden pressure (psi),Bulk Volume (cc),Pore Volume (cc),Porosity,Identical Porosity values,Frequency of porosity values,Relative Porosity (phi / phi ambient),"Air Permability (md), Kair@323 (K)","Klinkenberg Permeability, KL (mD)","Relative Permeability, Kp/K@323 psi (fraction)","Pore Volume Compressibility *1e-06, (psi) -1",RQI,Log (RQI),Phi z,Log (Phi z),FZI,GHE,DRT,Log R35,R35,log fzi,Identical Log (FZI) Values,Abs(Log FZI),Indentical Sum(log(FZI)),Identical Cumulative Frequency,Non Identical Sum(log(FZI)),Non Identical Cumulative Frequency,Identical Frequency,Rock Type
188,8H,4800,7742,56.9195,10.1958,0.1791,,,0.979,10.1,9.09,0.979,2.3,0.235799317,-0.627457458,0.218175174,-0.66119467,1.080779782,10.1,11,1.967866382,92.86806178,0.03374,,0.03374,,,-68.66085,-1.760534661,,1
189,8H,3600,5806,56.9515,10.2278,0.1796,,,0.981,10.2,9.17,0.981,3.01,0.236633686,-0.625923432,0.218917601,-0.659719319,1.080925811,10.2,11,1.96933623,93.18290163,0.0338,,0.0338,,,-68.62706,-1.805975155,,1
190,8H,3600,5806,56.9515,10.2278,0.1796,,,0.981,10.2,9.17,0.981,3.01,0.236633686,-0.625923432,0.218917601,-0.659719319,1.080925811,10.2,11,1.96933623,93.18290163,0.0338,,0.0338,,,-68.59326,-1.853871892,,1
191,22H,1200,1935,54.3828,3.0585,0.0562,,,0.957,0.256,0.157,0.474,29.3,0.067016458,-1.173818527,0.059546514,-1.225143657,1.125447214,0.256,11,1.464272923,29.1254687,0.05133,,0.05133,,,-68.54193,-1.903942636,,0
192,50H,Ambient,Ambient,54.0564,3.9986,0.074,,,1,0.608,0.355,1,-,0.090004781,-1.045734422,0.079913607,-1.097379267,1.126276039,0.608,11,1.581919099,38.18731281,0.05164,,0.05164,,,-68.49029,-1.95686543,,0
193,22H,800,1290,54.4228,3.0985,0.0569,,,0.969,0.295,0.185,0.546,34.92,0.071496457,-1.145715477,0.060332945,-1.219445478,1.185031791,0.295,11,1.495838347,31.32119672,0.07373,,0.07373,,,-68.41656,-2.012251766,,0
194,22H,0,0,54.5278,3.2035,0.0588,,,1,0.54,0.243,1,-,0.09515637,-1.021562135,0.062473438,-1.204304592,1.523149237,0.54,11,1.637905521,43.44157086,0.18274,,0.18274,,,-68.23382,-2.067691442,,0
195,20H,Ambient,Ambient,57.457,5.2223,0.0909,,,1,2.165,1.832,1,-,0.153241593,-0.814623343,0.099989,-1.000047775,1.532584508,2.165,11,1.829050051,67.46057685,0.18542,,0.18542,,,-68.04839,-2.126512286,,0
196,20H,800,1290,57.381,5.1463,0.0897,,,0.987,2.147,1.81,0.992,15.36,0.153620597,-0.813550551,0.098538943,-1.0063921,1.558983607,2.147,11,1.831904571,67.90544058,0.19284,,0.19284,,,-67.85555,-2.188888761,,0
197,20H,1200,1935,57.352,5.1173,0.0892,,,0.982,2.137,1.8,0.987,12.89,0.15369137,-0.813350518,0.097935881,-1.009058168,1.569306052,2.137,12,1.832809825,68.04713188,0.19571,,0.19571,,,-67.65984,-2.255328132,,0
198,20H,2400,3871,57.291,5.0563,0.0883,,,0.971,2.11,1.78,0.975,7.58,0.153493689,-0.813909476,0.096852035,-1.013891251,1.584826685,2.11,12,1.833368036,68.13465102,0.19998,,0.19998,,,-67.45986,-2.326202144,,0
199,20H,3600,5806,57.255,5.0203,0.0877,,,0.965,2.09,1.76,0.965,4.7,0.153286178,-0.814497006,0.096130659,-1.017138081,1.594560773,2.09,12,1.833494368,68.15447356,0.20264,,0.20264,,,-67.25722,-2.402043611,,0
200,20H,4800,7742,57.231,4.9963,0.0873,,,0.961,2.07,1.75,0.956,3.38,0.152900075,-0.815592301,0.095650268,-1.019313807,1.59853263,2.07,12,1.832754257,68.03842576,0.20372,,0.20372,,,-67.0535,-2.483462948,,0
201,11H,Ambient,Ambient,57.5242,4.5743,0.0795,,,1,1.541,1.255,1,-,0.138244354,-0.859352597,0.086366105,-1.063656664,1.600678337,1.541,12,1.792510752,62.01699978,0.2043,,0.2043,,,-66.8492,-2.571122905,,0
202,20H,6000,9677,57.213,4.9783,0.087,,,0.957,2.06,1.74,0.952,2.7,0.152793061,-0.815896368,0.095290252,-1.020951525,1.603449021,2.06,12,1.832809291,68.04704829,0.20506,,0.20506,,,-66.64414,-2.665765615,,0
203,19H,Ambient,Ambient,52.3516,5.3399,0.102,,,1,4.462,3.833,1,-,0.207679842,-0.682605655,0.113585746,-0.944676165,1.828397042,4.462,12,1.970492836,93.43139568,0.26207,,0.26207,,,-66.38207,-2.765919577,,2
204,5V,Triaxial,100,57.329,4.557,0.0798,,,0.954,4.557,0.0798,0.954,16.63,0.237283597,-0.624732283,0.086720278,-1.061879338,2.736195059,4.557,13,2.067972771,116.9426068,0.43715,,0.43715,,,-65.94492,-2.867170557,,2
205,5V,Triaxial,100,57.092,4.468,0.0784,,,0.937,4.468,0.0784,0.937,6.12,0.237043581,-0.625171801,0.085069444,-1.070226403,2.78647148,4.468,13,2.069577463,117.375502,0.44505,,0.44505,,,-65.49987,-2.977266736,,2
206,5V,Triaxial,100,57.003,4.432,0.0778,,,0.93,4.432,0.0778,0.93,2.84,0.236995296,-0.625260275,0.084363479,-1.073845521,2.809216731,4.432,13,2.070394282,117.5964692,0.44859,,0.44859,,,-65.05128,-3.097680141,,2
